,no2_ref
7942,2.4
4840,12.2
3167,2.4
4946,6.2
3173,4.4
4939,1.1
7553,2.9
2937,3.8
6711,2.4
1345,4.6
8,3.0
2871,3.8
3268,4.5
7852,5.9
5386,3.7
4542,2.7
3209,2.1
4078,1.0
6271,2.1
7575,2.9
2165,1.6
3453,1.1
4315,5.9
6117,3.4
1317,4.7
4057,1.8
6528,1.6
4160,2.2
5577,2.2
5829,1.9
4859,0.9
15,1.5
6832,17.8
375,10.8
327,2.7
5717,5.0
5758,1.8
5689,2.7
3711,3.5
1534,5.3
1647,8.8
7723,2.5
2415,2.2
1296,8.6
1957,12.5
2475,8.4
6242,0.8
2868,2.2
371,3.9
4137,2.0
2564,5.1
113,6.4
5854,3.7
4225,2.6
4264,6.0
3749,1.2
7270,1.7
4551,3.9
1277,4.3
207,6.9
4907,3.9
5712,2.7
80,12.5
1355,4.6
1513,2.1
5104,1.7
155,4.0
5786,6.2
1260,1.6
7131,8.6
391,15.2
545,4.4
5206,10.1
6853,9.9
7397,10.2
2330,3.5
7005,16.5
4697,3.6
1990,1.3
815,30.7
831,9.6
2805,5.6
3451,1.0
6973,5.7
1250,22.4
343,2.9
6464,5.8
4037,4.3
5618,3.1
976,29.3
469,5.7
4866,2.1
6699,17.9
7589,8.8
2146,4.2
1565,1.8
7451,11.1
1539,1.4
5838,6.2
6815,10.7
1903,16.1
7449,15.3
821,13.6
4182,1.9
3399,1.9
6651,9.5
4772,1.3
7966,4.9
4476,4.7
4558,1.0
5613,4.9
2740,3.0
3739,2.0
5067,0.7
3848,0.8
7255,3.0
7972,29.3
3403,4.4
7036,5.5
3130,1.9
2573,2.6
5510,2.8
887,11.8
280,1.3
4681,5.2
2572,2.6
7678,15.4
2058,0.9
612,1.8
4020,2.4
5192,1.3
2124,2.3
4122,1.5
1552,2.1
4851,1.6
200,3.8
5111,3.7
2782,7.6
3240,1.8
1675,1.8
256,8.6
6010,12.3
4418,1.8
2980,0.8
4242,1.5
240,10.0
2929,3.1
6979,12.6
3559,5.2
7870,0.8
2342,4.2
7023,1.3
6954,1.5
2526,1.5
6902,4.2
6551,3.7
223,1.7
249,5.3
3064,8.1
4016,3.4
4995,5.3
3308,2.9
4278,1.3
5397,1.1
2213,1.5
2400,2.5
6604,2.7
6989,17.0
2801,0.8
7685,5.2
4597,5.3
4566,4.4
363,4.5
7259,4.2
3939,1.6
5481,1.4
5097,2.5
6522,5.6
361,4.4
660,9.6
7492,15.3
4441,1.8
5741,0.8
7037,5.5
2916,7.6
5727,1.2
215,8.2
6468,9.4
331,2.8
5764,4.3
4245,1.8
4305,2.6
6359,3.6
4812,7.9
963,1.0
5820,1.1
862,5.4
4525,2.1
8047,13.8
3769,3.4
2575,2.1
4875,3.6
5927,0.5
823,4.0
3911,2.6
3271,5.5
7453,14.2
6152,7.6
4674,2.3
7780,2.3
5685,4.0
547,3.6
7352,34.1
904,20.5
4925,2.0
5030,2.3
5280,1.3
2057,0.8
5314,2.1
2436,4.1
1752,3.4
5464,2.2
1725,1.9
6584,1.7
3392,5.6
2197,15.5
349,2.3
4629,1.7
7752,19.5
3826,0.9
7445,28.1
164,3.7
2889,1.2
7429,3.3
4258,1.8
1297,6.9
5841,2.2
6649,11.0
4353,1.9
5972,1.5
7708,1.1
3870,1.9
4835,5.4
1139,28.1
7069,5.9
3147,5.1
1412,3.0
8043,15.8
6176,4.1
2174,2.8
7239,30.4
3120,1.2
5075,6.3
3253,2.9
4223,2.5
4043,4.4
6481,7.2
6869,7.7
3729,4.3
1081,16.7
7688,6.2
3410,5.6
3390,9.1
7825,3.8
394,26.3
4660,3.8
7043,3.9
875,5.6
5584,2.4
4751,7.2
3207,2.7
2084,9.6
3830,1.7
7715,2.1
6482,7.8
7008,19.2
2967,2.3
6011,11.9
6797,7.8
7218,5.7
4951,5.8
5885,0.7
7475,17.3
1088,4.7
5257,1.5
4277,1.5
2769,2.5
4117,1.8
5250,1.2
972,11.0
4048,4.4
3336,2.5
6833,16.9
1831,10.7
7269,1.4
3188,1.3
1550,3.1
3510,4.3
6347,2.2
5221,5.3
1615,5.3
5555,3.2
4427,4.9
1563,1.3
7689,5.3
1775,7.8
7599,6.4
2177,1.7
8069,18.8
4313,5.7
5864,1.2
2226,11.6
1954,26.4
506,8.6
6866,6.4
483,5.0
2561,2.8
3761,3.2
4237,1.6
5410,3.9
2458,3.6
7910,5.0
3069,1.7
1878,5.4
664,4.4
467,5.6
807,5.5
1227,3.7
7567,3.0
4945,3.0
697,23.4
6038,5.7
2525,1.0
2128,3.5
3943,1.5
4346,3.8
5909,1.0
4094,1.9
4457,4.7
6920,14.8
526,9.7
4354,2.1
7857,2.4
2368,3.0
1875,2.9
4239,1.4
4725,7.3
5349,2.6
5150,6.8
5534,2.3
1898,1.8
6836,15.6
5416,1.1
6852,7.4
7463,8.7
6220,0.8
3341,5.6
3206,5.2
1381,6.0
2155,2.6
1578,21.7
4269,2.0
3025,2.5
5140,1.1
5235,2.3
2836,5.1
5114,4.9
2706,4.7
4670,2.1
172,2.0
3552,3.2
879,7.0
2134,6.4
6771,1.8
5298,2.0
1483,5.5
4957,5.6
1929,3.8
246,4.7
4265,4.9
5270,1.1
3678,4.3
716,5.5
2597,6.6
3979,2.5
2735,2.5
4411,5.3
4739,1.6
1071,29.2
459,9.6
6639,8.2
7815,31.3
21,6.6
2203,16.1
6796,8.4
3098,2.7
7832,9.4
4749,6.1
1848,2.4
6292,9.6
3356,2.8
5282,1.2
2244,13.5
1666,1.0
4309,3.7
7295,1.9
5760,2.5
5486,1.1
7660,22.0
3685,4.0
1113,2.7
2722,9.6
5532,2.0
890,17.8
143,10.0
2280,1.0
7680,21.7
3866,3.0
7280,2.6
7527,3.1
1574,8.4
5046,1.2
2103,1.4
8143,5.8
7381,3.2
4458,3.1
625,26.3
1217,4.0
6467,9.2
4569,5.9
4758,2.9
5585,1.6
8038,19.8
6037,4.5
5757,1.2
7458,13.3
6261,6.3
6361,10.3
3075,1.9
6451,10.0
6736,2.7
804,2.6
227,6.7
1568,2.4
6027,1.4
6781,1.5
6214,1.5
445,3.6
4426,5.3
4466,1.7
5905,0.7
1134,13.0
6367,2.1
3628,3.4
2896,6.9
2158,3.1
3389,10.2
3352,2.6
8129,10.0
8171,0.9
5883,1.7
1635,1.1
57,20.7
6564,1.3
4778,3.0
6517,6.8
3067,6.0
2230,3.0
1176,5.6
89,14.4
2756,3.6
4761,2.5
1495,1.4
7886,12.6
7841,11.5
2682,0.4
124,9.5
55,20.1
5992,7.8
5278,1.7
7130,8.3
6169,10.3
2473,4.9
1520,2.5
5339,3.0
2983,0.8
64,22.5
2603,6.8
3606,10.3
7865,0.6
7505,5.9
4688,1.6
1461,20.4
880,9.7
427,15.4
3380,6.0
2297,15.6
3332,0.6
6549,2.4
1195,6.2
2714,3.4
324,3.1
206,6.0
1011,4.1
7371,4.2
4014,2.9
7367,3.9
7945,2.2
6540,1.9
7286,2.7
4341,1.9
2825,4.5
3298,6.8
1882,5.4
4085,2.0
1795,29.7
1163,11.9
2040,2.2
1546,5.3
5500,5.5
1427,5.6
1024,14.3
6822,1.6
7350,34.6
541,19.5
4425,6.0
4605,1.5
3600,1.5
3179,8.9
3515,3.4
2499,2.1
2622,2.1
7691,3.8
2277,1.4
1651,3.9
5180,1.5
3251,8.8
2971,1.6
5384,1.8
279,0.9
5230,8.4
1765,18.0
4822,1.4
1394,3.2
6700,17.1
4665,3.2
6373,6.7
5943,0.7
6151,7.0
7486,12.0
4700,3.5
2337,2.7
5157,9.3
3950,0.8
4114,2.5
4852,1.8
3962,1.5
4252,1.0
7178,2.4
2046,1.3
1986,1.0
6752,3.9
5355,3.1
5439,2.0
584,1.1
6698,18.2
1319,20.5
5626,2.8
6160,4.2
2652,1.3
1241,9.1
48,16.5
2551,2.7
3295,4.2
7640,24.6
3087,1.8
7375,8.4
3445,1.7
3786,2.3
4127,2.3
2800,0.7
758,4.0
6827,21.9
1493,1.2
3570,3.4
4220,2.6
2673,2.7
3111,2.7
6674,24.5
7735,21.2
278,1.5
1152,3.7
346,2.4
7332,3.7
8094,4.3
1521,2.5
1259,1.4
1537,2.2
6864,5.7
746,19.6
8109,4.9
6300,3.8
6559,1.4
5853,3.9
1967,2.9
7988,3.6
6775,4.0
7241,21.2
4299,9.1
1514,2.2
6147,10.4
3456,0.7
3840,3.8
7119,4.7
4456,2.9
358,5.7
5495,5.4
7379,0.8
5583,2.7
3494,5.1
1808,4.5
3783,1.8
1971,3.0
2370,3.3
6613,12.3
7137,25.6
411,3.7
4989,2.1
6598,1.4
7880,3.8
7291,4.2
2126,3.2
1710,3.3
5975,1.0
5654,3.0
4997,10.0
2770,2.9
7700,1.5
3800,2.0
6067,4.2
2435,2.9
219,13.0
7442,18.1
2966,2.8
7251,23.5
4603,1.4
4691,1.3
1082,14.4
6278,3.0
1284,5.6
843,34.4
5445,4.6
8064,8.0
4226,2.3
7362,22.5
1977,1.7
34,6.0
119,5.2
2565,4.2
3607,11.7
7974,28.7
2459,2.0
4594,3.0
4850,1.7
7035,5.7
2157,3.9
5016,3.8
7874,1.5
6713,1.9
5487,1.7
1925,2.8
3127,1.3
4980,3.6
2861,2.6
4442,1.4
7441,6.9
8046,14.5
4450,4.4
4929,1.9
7664,20.3
1158,3.5
92,5.3
2660,2.1
6591,4.4
2381,1.8
1203,4.8
1841,4.5
7580,6.4
6597,1.5
370,4.5
7767,2.9
2399,2.5
809,10.0
2015,8.0
5160,16.9
2358,2.7
1477,3.0
2630,3.9
1862,11.1
1249,14.3
768,9.6
4677,1.8
3539,3.8
2465,2.4
106,6.4
7285,3.5
120,5.9
3361,2.2
2621,2.3
512,12.2
5611,11.3
6208,2.0
6329,4.7
2760,10.2
7094,4.3
4383,1.2
7834,13.4
401,35.1
6818,18.8
342,3.2
6950,2.9
3506,2.5
5781,3.8
3036,5.0
6393,6.1
6343,14.3
806,5.0
312,3.2
4512,1.3
231,22.0
6691,16.0
7652,27.7
3567,10.8
4575,11.7
4800,2.0
1677,1.4
8040,25.7
5856,5.7
5080,2.1
7656,22.9
2153,1.5
1716,2.7
719,5.9
3269,4.5
7755,22.5
5425,9.9
1793,32.1
3129,1.2
7600,5.2
7754,20.1
1804,5.2
7400,4.9
1850,5.8
5413,1.4
4705,4.9
1410,2.5
2413,6.8
189,27.0
5242,2.1
5173,4.4
3999,4.4
3152,8.5
2528,1.5
4419,1.9
3986,1.4
1936,5.9
5921,0.3
6600,2.9
6684,13.0
161,8.0
8012,15.8
6385,1.7
7180,4.2
6538,1.8
1994,4.3
4507,2.8
29,21.2
3171,2.5
5362,2.3
5120,1.0
519,8.1
3655,1.1
1727,1.9
3731,2.2
939,2.6
864,4.5
2772,3.0
756,3.8
6805,2.7
6293,12.5
6776,11.3
6586,2.7
359,3.4
5079,1.6
7709,1.7
7010,12.1
6209,2.5
4854,2.4
5553,2.5
5945,0.8
4587,2.8
3561,12.4
7302,1.0
448,7.8
5814,1.9
7407,4.2
6787,3.5
5644,1.6
7467,17.4
7217,2.8
3791,3.1
5703,3.3
6653,8.1
7199,13.4
2711,1.4
7108,17.8
849,4.3
6479,12.6
1354,3.6
7583,16.9
6381,4.9
4259,1.8
7658,23.0
1305,9.1
7116,8.4
5249,0.8
7530,2.6
6860,15.7
6959,3.6
3500,4.0
1184,5.7
3162,1.1
536,2.5
8123,13.2
8057,15.5
570,17.5
4488,1.8
6119,7.4
3859,4.2
4202,1.3
546,3.2
58,19.6
7953,4.2
959,1.9
6285,6.7
3948,1.9
4855,1.4
7601,4.5
784,1.7
3748,1.2
