,no2_ref
2695,2.2
5252,2.9
5507,3.0
6085,3.0
4722,5.3
655,19.4
5142,0.9
1107,2.3
5346,3.0
619,10.3
4728,7.1
1876,3.5
1583,1.3
2958,0.8
632,9.6
4292,7.3
3686,3.4
7483,8.2
642,6.5
2909,1.4
2194,7.2
2877,4.8
4170,2.6
5408,6.6
3971,1.3
170,4.9
3937,2.0
3124,1.0
1797,6.7
8119,10.8
3241,2.3
2117,1.3
591,3.8
3744,1.8
2974,0.9
6430,1.9
8133,11.0
1566,1.8
1021,17.0
2951,2.1
2803,3.0
5208,4.4
2007,2.6
2091,5.8
2517,1.2
6722,1.8
6910,6.8
7109,17.9
5968,1.3
4802,1.5
555,10.7
1754,4.2
7928,6.3
1242,10.0
1987,0.9
7795,28.3
5678,7.0
210,6.9
5082,2.1
5958,1.1
6370,7.1
7684,9.8
2107,2.6
595,3.8
4647,4.3
1886,6.0
3900,2.0
5476,5.5
7377,1.8
4787,2.6
6585,1.4
5594,2.9
817,29.9
2077,3.2
4908,4.1
5161,6.2
3347,2.4
4404,1.3
2678,1.4
6501,10.1
1867,2.6
3440,1.8
2733,2.2
5139,1.3
6521,8.6
4637,6.0
6154,13.2
3666,2.2
7273,1.7
3190,1.9
5957,1.3
1691,1.6
4025,8.4
2457,3.4
4158,2.8
4639,4.7
2778,3.0
4369,1.5
1174,7.7
4453,2.3
7027,3.0
508,8.3
5051,1.8
4405,1.2
2208,1.1
6172,5.9
258,14.0
5399,2.1
5795,4.5
7611,11.8
4179,4.1
6927,4.9
6232,1.1
802,1.7
1357,6.2
6572,0.6
6336,8.8
1712,2.9
7216,4.0
4602,2.3
2300,8.4
2062,4.5
1235,3.4
2113,2.0
5911,0.7
2434,2.9
7383,5.5
2109,2.0
7470,15.5
1707,2.3
4100,1.9
3873,1.8
7933,6.0
2422,4.2
6825,4.1
2837,4.0
1949,26.1
3922,3.0
822,6.7
3388,13.1
7122,8.1
2013,3.6
4274,2.6
4532,1.6
322,3.3
23,11.5
1161,15.2
932,4.4
5178,3.0
2224,8.6
3157,1.2
2166,1.4
6414,1.2
5636,1.7
3131,4.2
6943,2.8
7508,5.8
3263,2.2
1548,3.1
7985,3.5
5580,2.2
4153,4.2
3467,1.0
5529,2.7
3992,2.4
1236,3.5
7186,2.0
1351,4.1
6228,0.8
6386,1.2
3689,1.3
2425,4.8
3103,4.3
7967,36.4
1892,1.0
2182,1.8
866,10.0
7331,2.7
490,4.4
1457,4.2
4471,2.1
7211,1.0
5002,2.5
1851,9.1
8179,2.3
7538,3.2
5496,6.2
7427,2.0
2137,11.0
3169,1.9
1254,4.3
7728,1.4
6379,3.6
7819,23.2
6542,2.9
7294,3.4
5723,2.6
5262,1.7
6972,7.7
1343,2.9
3135,1.3
6316,10.1
946,2.1
1481,4.0
301,2.9
1836,4.0
